A_C M/S/B exact-fiber comparison mechanical verifier
Snapshot date: 2026-08-30
Orientation: U-M
Claim boundary: mechanical checks only; no PBE-completeness or abstract-factorization claim

PASS | frozen byte hash: quality_reports/plans/2026-08-30_autorizacao_inicio_A_C_msb.md
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[17]:N=3,beta=0.20,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) nu_star is interior
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) T5 algebraic identity
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) T5 sign equivalence
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) low-cell margin identity
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) parity identity for c/m
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) strict T5 region has Z_E above all U values
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[18]:N=4,beta=0.20,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) nu_star is interior
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) T5 algebraic identity
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) T5 sign equivalence
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) low-cell margin identity
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) parity identity for c/m
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) strict T5 region has Z_E above all U values
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[19]:N=5,beta=0.20,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) nu_star is interior
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) T5 algebraic identity
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) T5 sign equivalence
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) low-cell margin identity
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) parity identity for c/m
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) strict T5 region has Z_E above all U values
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[20]:N=13,beta=0.20,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) nu_star is interior
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) T5 algebraic identity
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) T5 sign equivalence
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) low-cell margin identity
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) parity identity for c/m
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) strict T5 region has Z_E above all U values
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[21]:N=3,beta=0.60,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) nu_star is interior
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) T5 algebraic identity
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) T5 sign equivalence
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) low-cell margin identity
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) parity identity for c/m
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) outside T5 region bound alone does not certify majority
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[22]:N=4,beta=0.60,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) nu_star is interior
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) T5 algebraic identity
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) T5 sign equivalence
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) low-cell margin identity
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) parity identity for c/m
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) strict T5 region has Z_E above all U values
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[23]:N=5,beta=0.60,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) nu_star is interior
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) T5 algebraic identity
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) T5 sign equivalence
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) low-cell margin identity
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) parity identity for c/m
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) strict T5 region has Z_E above all U values
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[24]:N=13,beta=0.60,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) nu_star is interior
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) T5 algebraic identity
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) T5 sign equivalence
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) low-cell margin identity
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) parity identity for c/m
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) outside T5 region bound alone does not certify majority
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[25]:N=3,beta=0.90,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) nu_star is interior
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) T5 algebraic identity
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) T5 sign equivalence
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) low-cell margin identity
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) parity identity for c/m
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) outside T5 region bound alone does not certify majority
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[26]:N=4,beta=0.90,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) nu_star is interior
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) T5 algebraic identity
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) T5 sign equivalence
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) low-cell margin identity
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) parity identity for c/m
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) outside T5 region bound alone does not certify majority
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[27]:N=5,beta=0.90,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) nu_star is interior
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) T5 algebraic identity
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) T5 sign equivalence
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) low-cell margin identity
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) parity identity for c/m
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) outside T5 region bound alone does not certify majority
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[28]:N=13,beta=0.90,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) nu_star is interior
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) T5 algebraic identity
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) T5 sign equivalence
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) low-cell margin identity
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) parity identity for c/m
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) outside T5 region bound alone does not certify majority
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[29]:N=3,beta=0.99,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) nu_star is interior
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) T5 algebraic identity
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) T5 sign equivalence
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) low-cell margin identity
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) parity identity for c/m
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) outside T5 region bound alone does not certify majority
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[30]:N=4,beta=0.99,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) nu_star is interior
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) T5 algebraic identity
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) T5 sign equivalence
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) low-cell margin identity
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) parity identity for c/m
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) outside T5 region bound alone does not certify majority
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[31]:N=5,beta=0.99,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) nu_star is interior
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) U payoff bounds are ordered
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) T5 algebraic identity
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) T5 sign equivalence
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) low-cell margin identity
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) strict low-cell region has Z_E above z_L
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) parity identity for c/m
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) outside T5 region bound alone does not certify majority
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) endpoint zero payoff vector below z_H
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) endpoint one payoff vector equals z_H
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) low cell at p=0 follows Delta condition
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) low positive off-path belief is none
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) high p=0 cell is H0
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) high boundary p=nu_star is none
PASS | grid[32]:N=13,beta=0.99,o=(0.10,0.70) high p>nu_star cell is HB
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) nu_star is interior
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) T5 algebraic identity
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) T5 sign equivalence
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) low-cell margin identity
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) parity identity for c/m
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[33]:N=3,beta=0.20,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) nu_star is interior
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) T5 algebraic identity
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) T5 sign equivalence
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) low-cell margin identity
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) parity identity for c/m
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[34]:N=4,beta=0.20,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) nu_star is interior
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) T5 algebraic identity
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) T5 sign equivalence
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) low-cell margin identity
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) parity identity for c/m
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) high p=0 cell is H0
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) high boundary p=nu_star is none
PASS | grid[35]:N=5,beta=0.20,o=(0.30,0.40) high p>nu_star cell is HB
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) nu_star is interior
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) U payoff bounds are ordered
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) T5 algebraic identity
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) T5 sign equivalence
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) low-cell margin identity
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) strict low-cell region has Z_E above z_L
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) parity identity for c/m
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) strict T5 region has Z_E above all U values
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) endpoint zero payoff vector below z_H
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) endpoint one payoff vector equals z_H
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) low cell at p=0 follows Delta condition
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) low positive off-path belief is none
PASS | grid[36]:N=13,beta=0.20,o=(0.30,0.40) high p=0 cell is H0
